
2024/09/19 (19:39:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (21:21:40) | ===> btop++ v.1.3.2
2024/09/19 (21:21:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (22:28:13) | ===> btop++ v.1.3.2
2024/09/19 (22:28:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (23:22:36) | ===> btop++ v.1.3.2
2024/09/19 (23:22:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (23:22:40) | ===> btop++ v.1.3.2
2024/09/19 (23:22:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (00:22:07) | ===> btop++ v.1.3.2
2024/09/20 (00:22:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (03:53:42) | ===> btop++ v.1.3.2
2024/09/20 (03:53:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (04:01:26) | ===> btop++ v.1.3.2
2024/09/20 (04:01:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (18:51:35) | ===> btop++ v.1.3.2
2024/09/20 (18:51:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (19:52:37) | ===> btop++ v.1.3.2
2024/09/20 (19:52:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (20:03:23) | ===> btop++ v.1.3.2
2024/09/20 (20:03:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (20:03:35) | ===> btop++ v.1.3.2
2024/09/20 (20:03:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/20 (20:15:21) | ERROR: Stall in Runner thread, restarting!
2024/09/20 (20:15:29) | ERROR: Stall in Runner thread, restarting!

2024/09/20 (20:21:08) | ===> btop++ v.1.3.2
2024/09/20 (20:21:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (20:21:53) | ===> btop++ v.1.3.2
2024/09/20 (20:21:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (20:22:12) | ===> btop++ v.1.3.2
2024/09/20 (20:22:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (20:23:06) | ===> btop++ v.1.3.2
2024/09/20 (20:23:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (21:48:54) | ===> btop++ v.1.3.2
2024/09/20 (21:48:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (14:53:02) | ===> btop++ v.1.3.2
2024/09/21 (14:53:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (15:14:54) | ===> btop++ v.1.3.2
2024/09/21 (15:14:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (19:52:01) | ===> btop++ v.1.3.2
2024/09/21 (19:52:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (00:41:13) | ===> btop++ v.1.3.2
2024/09/22 (00:41:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (01:16:32) | ===> btop++ v.1.3.2
2024/09/22 (01:16:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (12:27:47) | ===> btop++ v.1.3.2
2024/09/22 (12:27:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (12:37:36) | ===> btop++ v.1.3.2
2024/09/22 (12:37:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:08:47) | ===> btop++ v.1.4.0
2024/09/22 (21:08:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:18:54) | ===> btop++ v.1.4.0
2024/09/22 (21:18:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:19:05) | ===> btop++ v.1.4.0
2024/09/22 (21:19:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:52:51) | ===> btop++ v.1.4.0
2024/09/22 (21:52:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:57:11) | ===> btop++ v.1.4.0
2024/09/22 (21:57:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:57:18) | ===> btop++ v.1.4.0
2024/09/22 (21:57:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:58:56) | ===> btop++ v.1.4.0
2024/09/22 (21:58:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (22:07:48) | ===> btop++ v.1.4.0
2024/09/22 (22:07:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (22:07:56) | ===> btop++ v.1.4.0
2024/09/22 (22:07:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (22:23:15) | ===> btop++ v.1.4.0
2024/09/22 (22:23:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (22:30:05) | ===> btop++ v.1.4.0
2024/09/22 (22:30:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (22:41:29) | ===> btop++ v.1.4.0
2024/09/22 (22:41:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

